,dered_petro_u,dered_petro_g,dered_petro_r,dered_petro_i,dered_petro_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z,v_disp,sersicN_r,petroR90_r,oob
5,0.0879662276270289,0.1862680772760252,0.0837662018922058,0.0811309658616804,0.0833567726634369,0.0303870887827181,0.0352977059082811,0.0239070836372316,0.0274051069219571,0.030608283297944,0.2343385521599577,0.0375995151141992,0.0579684188573333,-0.0038147616295666
20,0.0990476271888185,0.2256130692755761,0.0543197408095244,0.0756122545601998,0.0609492990828438,0.0620042845454181,0.0363590357861943,0.0245722040150046,0.0270803121960312,0.0337999355609527,0.2070842947289264,0.0362790821462119,0.0572788601042977,0.7238176781327537
50,0.1193507916153448,0.2403523123426132,0.0638438896560861,0.0699945186577553,0.0504330562475481,0.0553002745134826,0.0367445611557209,0.0245758571115705,0.0265551221523487,0.0344153599233935,0.1906704150492714,0.0352585249345322,0.052505316640332,0.7525822571644931
200,0.1342325175999268,0.2228305270587463,0.0753345319838594,0.0658687949414395,0.0462605918916192,0.0552758494585727,0.0379482021200454,0.0248678926697546,0.0268330178317171,0.0345049306420516,0.1870553721654925,0.039315130804682,0.0496726408320925,0.7651186976919304
400,0.13255449761015348,0.21982378615757997,0.07707936406689282,0.0670080796644822,0.04729844122430748,0.05488979929800018,0.037351367327134004,0.02502703173300107,0.026971909760289698,0.03522238705666103,0.1905550333039354,0.03885994763645552,0.04735835516110715,0.7671163811925192
