SURVEY: PS1MD
SNID:  PSc000098
IAUC:    UNKNOWN
RA:         184.9064  deg
DECL:        46.0322  deg
MWEBV:  0.0127  +- 0.0000 MW E(B-V)
REDSHIFT_FINAL:  0.0570  +- 0.0000 CMB
SEARCH_PEAKMJD: 55212.0
FILTERS:    griz

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 401
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR

OBS: 54953.3 r NULL  4.669 17.194 -6.673 3.998
OBS: 54993.4 r NULL  -24.040 20.109 nan -0.908
OBS: 54996.3 r NULL  62.104 79.099 -9.483 1.383
OBS: 54999.3 r NULL  45.684 22.922 -9.149 0.545
OBS: 55002.3 r NULL  -34.069 22.532 nan -0.718
OBS: 55191.6 r NULL  4.368 17.018 -6.601 4.230
OBS: 55203.6 r NULL  837.500 19.425 -12.307 0.025
OBS: 55209.6 r NULL  899.381 25.478 -12.385 0.031
OBS: 55212.6 r NULL  870.220 24.913 -12.349 0.031
OBS: 55215.6 r NULL  852.696 18.875 -12.327 0.024
OBS: 55221.6 r NULL  880.773 25.762 -12.362 0.032
OBS: 55230.6 r NULL  670.187 28.329 -12.065 0.046
OBS: 55233.5 r NULL  611.989 27.041 -11.967 0.048
OBS: 55236.6 r NULL  566.902 23.826 -11.884 0.046
OBS: 55239.6 r NULL  634.368 22.357 -12.006 0.038
OBS: 55242.6 r NULL  553.821 17.784 -11.858 0.035
OBS: 55248.5 r NULL  550.056 22.464 -11.851 0.044
OBS: 55251.5 r NULL  501.280 30.739 -11.750 0.067
OBS: 55266.6 r NULL  354.524 21.124 -11.374 0.065
OBS: 55269.6 r NULL  488.733 31.792 -11.723 0.071
OBS: 55272.6 r NULL  389.725 21.928 -11.477 0.061
OBS: 55275.5 r NULL  434.630 21.680 -11.595 0.054
OBS: 55301.3 r NULL  185.542 23.093 -10.671 0.135
OBS: 55302.5 r NULL  260.568 22.025 -11.040 0.092
OBS: 55305.4 r NULL  87.975 21.602 -9.861 0.267
OBS: 55326.4 r NULL  26.428 21.016 -8.555 0.863
OBS: 55329.4 r NULL  23.324 18.095 -8.420 0.842
OBS: 55332.3 r NULL  -1.274 17.016 nan -14.501
OBS: 55350.3 r NULL  15.862 17.191 -8.001 1.177
OBS: 55353.4 r NULL  -1.639 18.091 nan -11.987
OBS: 55359.3 r NULL  134.402 44.958 -10.321 0.363
OBS: 55362.3 r NULL  10.582 18.371 -7.561 1.885
OBS: 55365.3 r NULL  -5.626 19.051 nan -3.677
OBS: 55596.6 r NULL  -0.726 15.787 nan -23.600
OBS: 55596.6 r NULL  -0.923 15.853 nan -18.638
OBS: 55605.6 r NULL  -89.837 26.254 nan -0.317
OBS: 55632.6 r NULL  0.039 21.969 -1.464 619.544
OBS: 55635.5 r NULL  12.211 23.480 -7.717 2.088
OBS: 55650.6 r NULL  -2.384 20.354 nan -9.271
OBS: 55653.5 r NULL  -12.793 20.338 nan -1.726
OBS: 55662.4 r NULL  -15.726 20.076 nan -1.386
OBS: 55665.3 r NULL  -27.393 19.969 nan -0.791
OBS: 55674.4 r NULL  -29.763 17.251 nan -0.629
OBS: 55677.4 r NULL  15.050 16.799 -7.944 1.212
OBS: 55680.3 r NULL  29.098 21.895 -8.660 0.817
OBS: 55692.4 r NULL  -27.949 16.988 nan -0.660
OBS: 55701.3 r NULL  7.584 16.666 -7.200 2.386
OBS: 55710.3 r NULL  -10.450 16.285 nan -1.692
OBS: 55719.3 r NULL  1.471 16.594 -5.419 12.245
OBS: 55722.3 r NULL  1.103 27.686 -5.106 27.265
OBS: 55731.3 r NULL  2.126 33.281 -5.819 16.996
OBS: 55947.6 r NULL  -22.454 20.035 nan -0.969
OBS: 55952.6 r NULL  5.903 17.484 -6.928 3.216
OBS: 55970.6 r NULL  -8.428 21.788 nan -2.807
OBS: 55973.6 r NULL  21.456 28.446 -8.329 1.439
OBS: 55977.6 r NULL  61.787 33.943 -9.477 0.596
OBS: 55981.6 r NULL  26.883 17.886 -8.574 0.722
