SURVEY: PS1MD
SNID:  PSc000174
IAUC:    UNKNOWN
RA:         162.0294  deg
DECL:        56.8502  deg
MWEBV:  0.0076  +- 0.0000 MW E(B-V)
REDSHIFT_FINAL:  0.2440  +- 0.0000 CMB
SEARCH_PEAKMJD: 55212.0
FILTERS:    griz

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 481
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR

OBS: 56029.4 g NULL  -0.435 10.177 nan -25.389
OBS: 56032.3 g NULL  5.264 10.399 -6.803 2.145
OBS: 56037.4 g NULL  -3.919 12.387 nan -3.432
OBS: 56040.3 g NULL  -12.417 10.813 nan -0.945
OBS: 56043.3 g NULL  13.255 8.373 -7.806 0.686
OBS: 56059.3 g NULL  -12.965 14.316 nan -1.199
OBS: 56062.3 g NULL  9.457 8.320 -7.439 0.955
OBS: 56065.3 g NULL  -0.901 7.913 nan -9.541
OBS: 56067.3 g NULL  17.906 9.238 -8.132 0.560
OBS: 56325.5 g NULL  -20.875 20.687 nan -1.076
OBS: 56328.5 g NULL  -1.843 12.731 nan -7.502
OBS: 56331.6 g NULL  -11.779 10.630 nan -0.980
OBS: 56333.6 g NULL  -4.241 8.785 nan -2.249
OBS: 56354.4 g NULL  10.392 13.863 -7.542 1.448
OBS: 56357.5 g NULL  6.876 11.395 -7.093 1.799
OBS: 56360.4 g NULL  -23.740 15.781 nan -0.722
OBS: 56384.5 g NULL  -32.628 16.306 nan -0.543
OBS: 56387.3 g NULL  -0.452 12.628 nan -30.367
OBS: 56390.3 g NULL  -23.011 18.476 nan -0.872
OBS: 56395.3 g NULL  6.798 13.095 -7.081 2.092
OBS: 56398.4 g NULL  51.552 32.851 -9.281 0.692
OBS: 56401.3 g NULL  23.592 14.365 -8.432 0.661
OBS: 56421.3 g NULL  11.329 9.558 -7.635 0.916
OBS: 56427.3 g NULL  -24.933 13.697 nan -0.596
OBS: 56430.3 g NULL  -18.027 39.149 nan -2.358
OBS: 56443.3 g NULL  21.635 10.205 -8.338 0.512
OBS: 56709.5 g NULL  16.050 15.906 -8.014 1.076
OBS: 55161.6 r NULL  -7.645 22.467 nan -3.191
OBS: 55182.6 r NULL  -9.421 11.308 nan -1.303
OBS: 55188.7 r NULL  -3.239 11.737 nan -3.935
OBS: 55203.6 r NULL  82.692 10.725 -9.794 0.141
OBS: 55206.6 r NULL  158.590 11.752 -10.501 0.080
OBS: 55209.6 r NULL  200.212 11.937 -10.754 0.065
OBS: 55212.6 r NULL  258.543 10.840 -11.031 0.046
OBS: 55215.5 r NULL  284.357 12.726 -11.135 0.049
OBS: 55221.5 r NULL  265.859 11.853 -11.062 0.048
OBS: 55230.5 r NULL  228.871 35.950 -10.899 0.171
OBS: 55233.5 r NULL  171.016 13.826 -10.583 0.088
OBS: 55236.6 r NULL  118.197 12.197 -10.182 0.112
OBS: 55239.5 r NULL  115.552 10.777 -10.157 0.101
OBS: 55239.5 r NULL  114.198 10.064 -10.144 0.096
OBS: 55242.5 r NULL  97.904 10.423 -9.977 0.116
OBS: 55248.5 r NULL  68.359 13.021 -9.587 0.207
OBS: 55251.4 r NULL  58.984 19.210 -9.427 0.354
OBS: 55266.5 r NULL  -2.127 21.616 nan -11.035
OBS: 55275.5 r NULL  34.747 12.812 -8.852 0.400
OBS: 55281.3 r NULL  -0.296 18.633 nan -68.414
OBS: 55302.4 r NULL  14.964 23.140 -7.938 1.679
OBS: 55305.3 r NULL  28.156 13.806 -8.624 0.532
OBS: 55320.4 r NULL  8.303 17.423 -7.298 2.278
OBS: 55326.3 r NULL  24.153 12.136 -8.457 0.546
OBS: 55326.3 r NULL  17.050 11.394 -8.079 0.726
OBS: 55329.3 r NULL  -0.567 12.598 nan -24.110
OBS: 55332.3 r NULL  31.322 13.734 -8.740 0.476
OBS: 55338.3 r NULL  -18.666 29.573 nan -1.720
OBS: 55350.3 r NULL  17.193 13.383 -8.088 0.845
OBS: 55353.3 r NULL  -11.176 11.001 nan -1.069
OBS: 55353.3 r NULL  -6.684 12.712 nan -2.065
OBS: 55563.6 r NULL  -29.773 18.262 nan -0.666
OBS: 55572.6 r NULL  -1.115 13.982 nan -13.622
OBS: 55584.6 r NULL  1.435 15.412 -5.392 11.665
OBS: 55587.6 r NULL  -3.776 12.891 nan -3.707
OBS: 55590.6 r NULL  5.875 12.207 -6.923 2.256
OBS: 55590.6 r NULL  -2.993 11.596 nan -4.206
OBS: 55593.6 r NULL  4.992 13.196 -6.746 2.870
OBS: 55593.6 r NULL  10.707 12.278 -7.574 1.245
OBS: 55596.5 r NULL  -3.425 10.994 nan -3.485
OBS: 55602.4 r NULL  -14.681 12.492 nan -0.924
OBS: 55629.4 r NULL  9.394 14.486 -7.432 1.674
OBS: 55632.5 r NULL  -13.554 11.714 nan -0.938
OBS: 55635.4 r NULL  1.239 15.205 -5.233 13.324
OBS: 55650.5 r NULL  7.107 12.244 -7.129 1.871
OBS: 55653.5 r NULL  -5.891 16.965 nan -3.127
OBS: 55662.3 r NULL  2.844 13.328 -6.135 5.089
OBS: 55665.3 r NULL  -4.134 16.308 nan -4.283
OBS: 55665.3 r NULL  2.183 16.565 -5.848 8.238
OBS: 55674.3 r NULL  -0.889 11.344 nan -13.846
OBS: 55674.3 r NULL  4.136 9.639 -6.541 2.530
OBS: 55677.4 r NULL  1.132 11.624 -5.134 11.152
OBS: 55677.4 r NULL  -10.229 11.977 nan -1.271
OBS: 55680.3 r NULL  26.206 14.325 -8.546 0.594
OBS: 55692.3 r NULL  -9.307 11.379 nan -1.327
OBS: 55692.3 r NULL  -16.314 14.674 nan -0.977
OBS: 55710.3 r NULL  3.046 13.093 -6.209 4.667
OBS: 55719.3 r NULL  2.825 12.238 -6.128 4.703
OBS: 55719.3 r NULL  2.211 11.195 -5.862 5.497
OBS: 55722.3 r NULL  6.347 24.388 -7.006 4.172
OBS: 55911.6 r NULL  -9.524 11.311 nan -1.289
OBS: 55911.6 r NULL  -13.536 13.120 nan -1.052
OBS: 55928.6 r NULL  13.291 9.699 -7.809 0.792
OBS: 55928.6 r NULL  5.305 10.273 -6.812 2.103
OBS: 55947.6 r NULL  -29.669 15.225 nan -0.557
OBS: 55947.6 r NULL  -24.870 16.287 nan -0.711
OBS: 55952.6 r NULL  -6.462 14.567 nan -2.448
OBS: 55952.6 r NULL  10.215 11.918 -7.523 1.267
OBS: 55955.6 r NULL  11.525 13.289 -7.654 1.252
OBS: 55955.6 r NULL  9.636 13.657 -7.460 1.539
OBS: 55958.6 r NULL  4.301 13.046 -6.584 3.294
OBS: 55958.6 r NULL  -13.917 14.304 nan -1.116
OBS: 55970.6 r NULL  -1.666 15.938 nan -10.390
OBS: 55970.6 r NULL  14.737 16.058 -7.921 1.183
OBS: 55973.6 r NULL  21.066 18.583 -8.309 0.958
OBS: 55973.6 r NULL  22.465 14.274 -8.379 0.690
OBS: 55977.6 r NULL  1.894 29.329 -5.694 16.810
OBS: 55977.6 r NULL  48.518 33.252 -9.215 0.744
OBS: 55981.5 r NULL  -11.543 12.817 nan -1.206
OBS: 55981.5 r NULL  -3.953 12.811 nan -3.519
OBS: 55984.5 r NULL  -4.750 12.513 nan -2.860
OBS: 55984.5 r NULL  -24.830 15.245 nan -0.667
OBS: 56000.5 r NULL  2.120 13.882 -5.816 7.109
OBS: 56000.5 r NULL  1.531 13.855 -5.462 9.826
OBS: 56006.5 r NULL  1.186 12.928 -5.185 11.834
OBS: 56006.5 r NULL  -10.151 12.739 nan -1.363
OBS: 56014.4 r NULL  1.534 13.845 -5.465 9.799
OBS: 56014.4 r NULL  1.674 12.973 -5.560 8.412
OBS: 56029.4 r NULL  -6.193 15.126 nan -2.652
OBS: 56032.3 r NULL  -16.941 11.383 nan -0.729
OBS: 56040.3 r NULL  -15.255 18.005 nan -1.281
OBS: 56043.3 r NULL  11.818 9.847 -7.681 0.905
OBS: 56059.3 r NULL  -15.788 23.689 nan -1.629
OBS: 56062.3 r NULL  23.328 10.087 -8.420 0.469
OBS: 56065.3 r NULL  11.438 10.050 -7.646 0.954
OBS: 56325.5 r NULL  -16.082 17.244 nan -1.164
OBS: 56331.6 r NULL  -0.462 11.558 nan -27.175
