n oobs dered_petro_u dered_petro_g dered_petro_r dered_petro_i dered_petro_z petroMagErr_u petroMagErr_g petroMagErr_r petroMagErr_i petroMagErr_z v_disp sersicN_r petroR90_r
5 -0.26315576373513805 0.07850880716227099 0.16317194533581061 0.04328597394653179 0.06469054659619668 0.06767549894947246 0.037088648446245716 0.045539878411629785 0.042184328084766874 0.04538809587146906 0.047173068823630426 0.176400877607964 0.06503399428909025 0.12385833647492119
20 0.5073718880281453 0.08114609609025708 0.1638303715658782 0.06864909389462252 0.05068868179380014 0.06243924463419983 0.04059814606265155 0.03640073119466591 0.04309167087507875 0.04600385762071169 0.04190748361104963 0.19020235692006515 0.06298694133599501 0.1120553244010246
50 0.5542366790353059 0.09724840335453043 0.1453592264297669 0.07095177445354876 0.04966725856954125 0.06055701944592181 0.041058061958804584 0.0347179718817852 0.04390075868629619 0.043731378656094555 0.04318057518985966 0.1972752615449709 0.060686873394430775 0.11166543643444903
200 0.576749808174896 0.10387504390827297 0.14413414060857746 0.06955706184568981 0.052451812704902796 0.05356268879081298 0.04037524325680484 0.034677072299028416 0.04462061608615312 0.04343011235214412 0.04255175868658041 0.19081590923222794 0.060739375751551646 0.1192091644772536
500 0.5811907983718865 0.10895914651818367 0.14356473854157148 0.06903409384194749 0.0581657155897573 0.05246898026156763 0.03988831297645746 0.03554298904932226 0.04476476368809584 0.04319821625565442 0.04254604486064355 0.19184689926117257 0.059466687977676146 0.1105534111779502
