ug,gr,gi,gz,petroRad_i,petroR50_i,deVAB_i,fracDev_i
1.980616,0.9436932,1.356609,1.689163,4.735223,1.961058,0.6568373,1.0
1.800232,1.804392,2.523903,2.950541,3.869872,1.8142,0.8835239,1.0
1.94565,1.149696,1.609917,1.942705,4.930181,2.057423,0.8096959,1.0
2.504423,1.779974,2.549145,3.032429,2.521883,1.255969,0.7084446,0.934306
1.549362,1.860834,2.528669,2.945189,3.599042,1.684,0.9011179,0.9014955
2.391165,1.918476,2.575655,2.8839,5.501634,2.338097,0.7334464,1.0
1.406147,0.9579086,1.393696,1.729715,5.74296,2.813441,0.9426256,0.2712985
1.89263,0.8995285,1.288568,1.635769,3.094836,1.306863,0.5022492,1.0
1.313488,1.794739,2.377617,2.800549,3.344835,1.712885,0.6453818,0.4329303
1.684797,0.8108959,1.20632,1.52462,9.61904,3.94027,0.5611033,0.6607803
1.38138,0.5253201,0.8402958,0.9950275,7.42326,3.470454,0.5089489,0.2808999
1.381979,0.5609779,0.8133278,1.015661,6.252338,2.794915,0.3956958,0.0
2.614286,1.357559,2.353006,2.870975,1.216032,0.6436357,0.09999955,0.0
2.564791,1.777662,2.479704,2.886267,4.5225,1.826019,0.8594054,1.0
1.412102,0.8409061,1.284275,1.593197,4.744168,1.95611,0.6270435,1.0
1.924913,0.9447403,1.375326,1.711215,9.116258,3.371894,0.8942472,1.0
1.910122,0.9153919,1.329262,1.631195,3.155909,1.27368,0.7451641,1.0
1.809891,1.05464,1.505035,1.845526,4.434352,1.972086,0.7144099,1.0
1.904379,1.028477,1.484078,1.830684,7.102899,2.855456,0.7886116,1.0
1.87233,1.023924,1.459646,1.799413,7.72053,3.527319,0.8155684,0.8128251
2.02109,0.9944248,1.437391,1.776287,3.110816,1.392316,0.2830485,0.8801216
1.570122,0.8664989,1.340746,1.681589,3.50858,1.470977,0.5878643,1.0
1.091913,0.4090538,0.6378479,0.7878342,5.242366,2.349883,0.1767091,0.0
2.3964,1.003971,1.362452,1.562611,1.343079,0.7052912,0.1000256,0.0
1.121283,0.4055042,0.642477,0.716733,11.23271,4.362665,0.5945492,0.5020168
1.121708,1.39658,2.130693,2.535936,4.519153,1.872421,0.5599636,1.0
1.792809,1.768518,2.524124,2.907356,4.24383,1.669696,0.9144205,1.0
1.89439,0.9232388,1.339203,1.679128,6.378449,2.613452,0.914933,1.0
1.84079,0.8907413,1.288263,1.59309,2.717706,1.217582,0.5773458,1.0
1.823496,1.098845,1.572985,1.921814,4.58021,1.801169,0.521351,1.0
2.261122,1.588793,2.13522,2.542738,4.816254,1.660566,0.7140034,1.0
2.460579,1.804712,2.449745,2.74221,4.760158,1.816702,0.8264318,1.0
0.8801193,0.9978752,1.434355,1.967255,2.106659,1.004154,0.6419648,0.8686371
3.550112,1.614548,2.66329,3.161104,4.122967,1.581663,0.4781215,0.7859609
